AÑO ;PERÍODO ;TIPO DE MISIÓN;REGIÓN;PAÍS;NOMBRE DE LA MISIÓN ;GRUPO DE GASTO;DETALLE DEL GRUPO DE GASTO;"PRESUPUESTO 
CODIFICADO 2024";PRESUPUESTO DEVENGADO;PORCENTAJE DE EJECUCIÓN
2024;A MARZO ;CONSULADO ;AMÉRICA DEL NORTE Y EUROPA;ALEMANIA;C-ALEMANIA-HAMBURGO;530000;BIENES Y SERVICIOS DE CONSUMO;26.268,22;10.895,44;41%
2024;A MARZO ;CONSULADO ;AMÉRICA DEL NORTE Y EUROPA;ALEMANIA;C-ALEMANIA-HAMBURGO;570000;OTROS EGRESOS CORRIENTES;1.136,00;885,26;78%
2024;A MARZO ;CONSULADO ;AMÉRICA LATINA Y EL CARIBE;BRASIL;C-BRASIL-SAO PAULO;570000;OTROS EGRESOS CORRIENTES;3.517,68;2.850,70;81%
2024;A MARZO ;CONSULADO ;AMÉRICA LATINA Y EL CARIBE;BRASIL;C-BRASIL-SAO PAULO;530000;BIENES Y SERVICIOS DE CONSUMO;43.699,49;6.933,76;16%
2024;A MARZO ;CONSULADO ;AMÉRICA DEL NORTE Y EUROPA;CANADÁ;C-CANADA-TORONTO;530000;BIENES Y SERVICIOS DE CONSUMO;87.664,75;25.143,62;29%
2024;A MARZO ;CONSULADO ;AMÉRICA LATINA Y EL CARIBE;CHILE;C-CHILE-SANTIAGO;570000;OTROS EGRESOS CORRIENTES;2.316,90;491,51;21%
2024;A MARZO ;CONSULADO ;AMÉRICA LATINA Y EL CARIBE;CHILE;C-CHILE-SANTIAGO;530000;BIENES Y SERVICIOS DE CONSUMO;51.557,04;16.407,63;32%
2024;A MARZO ;CONSULADO ;ASIA, ÁFICA Y OCEANÍA;CHINA;C-CHINA-GUANGZHOU;570000;OTROS EGRESOS CORRIENTES;1.882,68;144,72;8%
2024;A MARZO ;CONSULADO ;ASIA, ÁFICA Y OCEANÍA;CHINA;C-CHINA-GUANGZHOU;530000;BIENES Y SERVICIOS DE CONSUMO;74.805,95;11.601,23;16%
2024;A MARZO ;CONSULADO ;ASIA, ÁFICA Y OCEANÍA;CHINA;C-CHINA-SHANGAI;530000;BIENES Y SERVICIOS DE CONSUMO;77.278,53;18.316,57;24%
2024;A MARZO ;CONSULADO ;ASIA, ÁFICA Y OCEANÍA;CHINA;C-CHINA-SHANGAI;570000;OTROS EGRESOS CORRIENTES;1.418,00;345,41;24%
2024;A MARZO ;CONSULADO ;AMÉRICA LATINA Y EL CARIBE;COLOMBIA;C-COLOMBIA-BOGOTA;530000;BIENES Y SERVICIOS DE CONSUMO;7.024,77;2.048,85;29%
